구분,코드값,코드설명
문 QT1,1,서울/인천/경기
문 QT1,2,대전/세종/충청/강원
문 QT1,3,부산/경남/울산
문 QT1,4,대구/경북
문 QT1,5,광주/전라/제주
문 QT2,1,에너지/화학/정밀
문 QT2,2,의료/제약
문 QT2,3,컴퓨터/반도체/전자부품
문 QT2,4,통신기기/방송기기
문 QT2,5,기계/자동차/금속
문 QT2,6,음식료/섬유/비금속/기타제조
문 QT2,7,소프트웨어개발/IT기반서비스
문 QT2,8,정보통신/방송서비스
문 QT2,9,도소매/연구개발서비스/기타서비스
문 QT2,10,기타
문 QT3,1,규모1
문 QT3,2,규모2
문 QT3,3,규모3
문 QT3,4,규모4
문 QT3,5,규모5
문 QT3,6,규모6
문 QT3,7,규모7
문 QT3,8,규모8
문 QPART,1,인사/총무
문 QPART,2,재무/회계
문 QPART,3,전략/기획
문 QPART,4,홍보/마케팅/영업
문 QPART,5,연구/개발
문 QPART,6,생산/품질
문 QPART,7,유통/물류
문 QPART,8,기타
문 POSITION,1,대표이사
문 POSITION,2,임원
문 POSITION,3,부장/차장/과장
문 POSITION,4,기타
문 QA1_4,1,기술평가대출기업
문 QA1_4,2,기술평가보증기업
문 QA1_4,3,벤처투자기업
문 QA1_4,4,연구개발기업
문 QA2_2,1,창업기
문 QA2_2,2,초기성장기
문 QA2_2,3,고도성장기
문 QA2_2,4,성숙기
문 QA2_2,5,쇠퇴기
문 QA2_3,1,자체 제조
문 QA2_3,2,제조+외주
문 QA2_3,3,전부 외주(아웃소싱)
문 QA2_3,4,비제조기업
문 QA2_4,1,현재 상장기업
문 QA2_4,2,현재 추진 중
문 QA2_4,3,추진계획 있음
문 QA2_4,4,추진계획 있음
문 QA2_5_1,1,코스피
문 QA2_5_1,2,코스닥
문 QA2_5_1,3,코넥스
문 QB1_1,1,예
문 QB1_1,2,아니오
문 QB1_2,1,남성
문 QB1_2,2,여성
문 QB1_3,1,20대 이하
문 QB1_3,2,30대
문 QB1_3,3,40대
문 QB1_3,4,50대
문 QB1_3,5,60대 이상
문 QB1_4,1,박사
문 QB1_4,2,석사
문 QB1_4,3,대졸
문 QB1_4,4,전문학사
문 QB1_4,5,고졸이하
문 QB1_4_1,1,공학(엔지니어)
문 QB1_4_1,2,자연과학
문 QB1_4_1,3,경영.경제학
문 QB1_4_1,4,인문사회학
문 QB1_4_1,5,기타
문 QB1_5,1,교수
문 QB1_5,2,학생
문 QB1_5,3,공공부문 연구소
문 QB1_5,4,민간부문 연구소
문 QB1_5,5,대기업
문 QB1_5,6,중소·벤처기업
문 QB1_5,7,중견기업
문 QB1_5,8,정부 및 산하단체
문 QB1_5,9,금융기관
문 QB1_5,10,기타
문 QB1_6_1 TO QB1_6_8,1,인사/총무
문 QB1_6_1 TO QB1_6_8,2,재무/회계
문 QB1_6_1 TO QB1_6_8,3,전략/기획
문 QB1_6_1 TO QB1_6_8,4,홍보/마케팅/영업
문 QB1_6_1 TO QB1_6_8,5,연구/개발
문 QB1_6_1 TO QB1_6_8,6,생산/품질
문 QB1_6_1 TO QB1_6_8,7,유통/물류
문 QB1_6_1 TO QB1_6_8,8,기타
문 QB2_1,1,남성
문 QB2_1,2,여성
문 QB2_2,1,20대 이하
문 QB2_2,2,30대
문 QB2_2,3,40대
문 QB2_2,4,50대
문 QB2_2,5,60대 이상
문 QB2_3,1,박사
문 QB2_3,2,석사
문 QB2_3,3,대졸
문 QB2_3,4,전문학사
문 QB2_3,5,고졸이하
문 QB2_3_1,1,공학(엔지니어)
문 QB2_3_1,2,자연과학
문 QB2_3_1,3,경영.경제학
문 QB2_3_1,4,인문사회학
문 QB2_3_1,5,기타
문 QB2_4,1,교수
문 QB2_4,2,학생
문 QB2_4,3,공공부문 연구소
문 QB2_4,4,민간부문 연구소
문 QB2_4,5,대기업
문 QB2_4,6,중소·벤처기업
문 QB2_4,7,중견기업
문 QB2_4,8,정부 및 산하단체
문 QB2_4,9,금융기관
문 QB2_4,10,기타
문 QB2_5_1 TO QB2_5_8,1,인사/총무
문 QB2_5_1 TO QB2_5_8,2,재무/회계
문 QB2_5_1 TO QB2_5_8,3,전략/기획
문 QB2_5_1 TO QB2_5_8,4,홍보/마케팅/영업
문 QB2_5_1 TO QB2_5_8,5,연구/개발
문 QB2_5_1 TO QB2_5_8,6,생산/품질
문 QB2_5_1 TO QB2_5_8,7,유통/물류
문 QB2_5_1 TO QB2_5_8,8,기타
문 QB2_6_1,1,대기업 등 타 기업의 분사 또는 계열사 형식으로 창업
문 QB2_6_1,2,"국가연구소, 대학교 등에서 창업보육(BI) 과정을 거쳐 창업"
문 QB2_6_1,3,"위에 해당하지 않는 방식으로, 창업자가 독자적으로 창업"
문 QB2_6_2,1,창업자 단독창업
문 QB2_6_2,2,공동/팀 창업(2~4명과 역할분담 창업)
문 QB2_6_3,1,기술개발
문 QB2_6_3,2,영업.마케팅
문 QB2_6_3,3,관리
문 QB2_6_3,4,재무
문 QB2_6_3,5,기타
문 QB2_6_4,1,기술개발
문 QB2_6_4,2,영업.마케팅
문 QB2_6_4,3,관리
문 QB2_6_4,4,재무
문 QB2_6_4,5,기타
문 QB2_7,1,국내
문 QB2_7,2,해외
문 QB2_7,3,국내+해외
문 QB2_9,1,있음
문 QB2_9,2,없음
문 QC4_1,1,있다
문 QC4_1,2,없다
문 QC4_2,1,이미 상반기에 채용
문 QC4_2,2,이미 규모 대비 인력 과잉상태이기 때문에
문 QC4_2,3,매출 등 경영실적이 크게 개선되지 않아서
문 QC4_2,4,경기가 크게 개선될 것 같지 않아서
문 QC4_2,5,기타
문 QC5_1_1 TO QC5_1_2,1,인사/총무
문 QC5_1_1 TO QC5_1_2,2,재무/회계
문 QC5_1_1 TO QC5_1_2,3,전략/기획
문 QC5_1_1 TO QC5_1_2,4,홍보/마케팅/영업
문 QC5_1_1 TO QC5_1_2,5,연구/개발
문 QC5_1_1 TO QC5_1_2,6,생산/품질
문 QC5_1_1 TO QC5_1_2,7,유통/물류
문 QC5_1_1 TO QC5_1_2,8,기타
문 QC5_2_1 TO QC5_2_2,1,사원급
문 QC5_2_1 TO QC5_2_2,2,대리급
문 QC5_2_1 TO QC5_2_2,3,중간 관리자급
문 QC5_2_1 TO QC5_2_2,4,임원급
문 QD5_1A TO QD5_1B,1,있다
